ID,Name,ChineseName,VideoCount
243,serath (paragon),塞拉特 (模范),0
37251,azaan the eternal (paladins),永恒的阿扎安 (枪火游侠),0
11247,tape,胶带,0
73449,german,德语,0
164369,Fujibayashi Naoe (assassins creed),藤林直江 (刺客的信条),0
6649,arawaraw,arawaraw,0
25930,shinji ikari (Evangelion),碇真司 (新世纪福音战士),0
25786,sweaty breasts,汗湿的胸部,0
25470,seer (apex legends),先知 (Apex英雄),0
9156,mama (death stranding),妈妈 (死亡搁浅),0
2992,shy,害羞,0
404,bleach,死神,0
51642,roon (azur lane),罗恩 (碧蓝航线),0
95759,prometheus (honkai impact),普罗米修斯 (崩坏3),0
38961,montgomery gator (fnaf),蒙哥马利鳄鱼 (玩具熊的五夜后宫),0
95779,erdos helia (honkai impact),赫丽娅 (崩坏3) (崩坏3),0
29894,Yunyun (Kono Subarashii),云云 (为美好的世界献上祝福！),0
26406,nurse redheart,护士红心,0
4927,no humans,无人类,0
75084,hanya (honkai star rail),哈尼亚 (崩坏：星穹铁道),0
38380,natsuki (doki doki literature club),夏希 (心跳文学部),0
56828,sun wukong (rwby),孙悟空 (RWBY),0
42251,w (arknights),草 (明日方舟),0
5065,no panties under skirt,裙子下没有内裤,0
6196,princessleia,莱娅公主,0
34951,02 (darling in the franxx),02 (Darling in the Franxx),26
2975,1animal,1动物,465
1897,1boy,1个男孩,11953
25797,1boy1girl,1男1女,8666
5487,1boys,1男,227
4828,1elf,1精灵,106
3556,1female,1女性,1316
6999,1femboy,1femboy,263
1898,1girl,1个女孩,18575
5444,1human,1人类,176
2298,1monster,1怪物,941
8180,1orc,1兽人,71
8013,1robot,1机器人,176
3819,2animals,2动物,115
2502,2boys,2个男孩,2551
366,2d,2d,59378
2117,2futas,2扶他,1633
2007,2girls,2个女孩,4589
3783,2monsters,2怪物,241
2306,360 vr,360 度虚拟现实,6
2006,3boys,3个男孩,409
25754,3boys1girl,3男1女,191
4190,3futas,3扶他,310
2372,3girls,3人女子,954
3668,3toes,3脚趾,11
4126,4boys,4个男孩,155
1761,4ere4nik,4ere4nik,2
4421,4fingers,4手指,11
3948,4futas,4扶他,111
2274,4girls,4个女孩,211
3215,4k,4k,8193
6423,4th wall breaking,第四堵墙被打破,16
5260,4toes,4脚趾,5
5570,5boys,5个男孩,51
6899,5girls,5名女孩,85
5261,5toes,5脚趾,19
5934,60fps,60fps,2966
164,69 position,69 位置,1351
5157,6boys,6男,21
3966,6girls,6女,31
11129,7futas,7扶他,18
38580,808 (hifi rush),808 (高保真热潮),17
73009,a-chan (vtuber),阿酱 (VTuber/虚拟主播),10
59134,a.k.i. (street fighter),又名 (街头霸王),26
1856,a.lias,a.lias,3
41228,aa-12 (girls frontline),AA-12 (少女前线),4
25614,aang (avatar the last airbender),安 (最后的气宗头像),37
144981,aarontsay (vtuber),Aarontsay (VTuber/虚拟主播),3
27102,aayla secura (star wars),艾拉·塞库拉 (星球大战),21
32477,abby (the last of us 2),艾比 (最后的我们2),40
7013,abigail (peculiart),阿比盖尔 (特有的),1
25594,abigail (stardew valley),阿比盖尔 (星露谷物语),1
36061,abigail blyg (the quarry),阿比盖尔·布莱格 (采石场),7
35498,abigail briarton (call of duty),阿比盖尔·布里顿 (使命召唤),12
33323,abigail williams (fate),阿比盖尔·威廉姆斯 (Fate系列),19
5870,abnormal,异常,19
7799,abomination (warcraft),厌恶 (魔兽世界),2
4119,above view,上面的视图,42
36704,abra (pokemon),凯西 (宝可梦),1
2869,abs,腹肌,2027
26269,absol (pokemon),阿勃梭鲁 (宝可梦),35
6427,absorption,吸收,624
5926,absurd res,荒谬的资源,99
155317,abukuma (kancolle),阿武隈 (坎科莱),13
5158,abuse,虐待,156
58524,abyssal yufine (epic seven),深渊尤芬 (第七史诗),3
159057,acacia (snowbreak),金合欢 (防雪),10
5200,academia,学术界,12
3865,academy d.va (overwatch),学院D.Va (守望先锋),71
37731,accent,口音,1
5262,accessory,配件,48
95744,acheron (honkai star rail),黄泉 (崩坏：星穹铁道),240
206951,acht (splatoon),阿赫特 (喷射战士),4
6852,activision,动视,2
51,ada wong (resident evil),艾达·王 (生化危机),2864
104350,ada-1 (destiny),阿达-1 (命运),4
27489,adagio dazzle (mlp),炫音微光 (小马宝莉),47
34067,adam (record of ragnarok),亚当 (仙境传说的记录),2
37302,adam smasher (cyberpunk 2077),亚当·重锤 (赛博朋克2077),29
43787,adeleine (kirby),艾德琳 (星之卡比) (星之卡比),4
1988,adeptus steve,史蒂夫修行,79
150860,adira (fortnite),阿迪拉 (堡垒之夜),1
4488,adriandustred,阿德里安德雷德,13
40257,adult female,成年女性,164
5305,adventure time,探险活宝,55
37588,advertisement,广告,4481
7587,aegis,宙斯盾,22
1223,aela the huntress (world of warcraft),艾拉猎手 (魔兽世界),17
209016,aemeath (wuthering waves),埃米斯 (鸣潮),97
2320,aerith gainsborough (final fantasy),爱丽丝·盖恩斯巴勒 (最终幻想),1310
7763,aero buddy,航空伙伴,5
7000,aether (genshin impact),醚 (原神),1976
4271,after masturbation,自慰后,94
3352,after orgasm,性高潮后,202
2070,after sex,事后,538
25755,after vaginal,阴道性交后,120
6167,against bed,靠在床边,25
6856,against rock,靠在岩石上,7
5263,against table,靠在桌子上,110
2414,against the glass,对着玻璃,282
5086,against tree,靠在树上,47
2097,against wall,靠墙,1244
4686,age difference,年龄差,1402
26875,age regression,年龄倒退,23
4671,aged up,年龄增长,214
2191,aggressive,侵略性,195
5212,aggretsuko,猛烈子,27
26270,aggron,波士可多拉,14
25848,agir (azur lane),阿吉尔 (碧蓝航线),57
147669,aglaea (honkai star rail),阿格莱亚 (崩坏：星穹铁道),111
157657,agnes tachyon (uma musume),艾格尼丝超光速子 (赛马娘),45
364,ahegao,阿黑颜,16046
176,ahri (league of legends),阿赫里 (英雄联盟),1005
1054,ahri academy (league of legends),阿赫里学院 (英雄联盟),21
1055,ahri star guardian (league of legends),阿狸星之守护者 (英雄联盟),10
683,ahsoka tano (starwars),阿索卡·塔诺 (星球大战),334
32405,ai hayasaka (love is war),早坂爱 (爱就是战争),91
39158,ai hoshino (oshi no ko),星野爱 (我推的孩子),79
43838,ai hyperion (honkai impact),艾海伯利安 (崩坏3),7
42998,ai-chan (getsuyoubi no tawawa),爱酱 (星期一的丰满),25
243,serath (paragon),塞拉特 (模范),0
37251,azaan the eternal (paladins),永恒的阿扎安 (枪火游侠),0
11247,tape,胶带,0
73449,german,德语,0
164369,Fujibayashi Naoe (assassins creed),藤林直江 (刺客的信条),0
6649,arawaraw,arawaraw,0
25930,shinji ikari (Evangelion),碇真司 (新世纪福音战士),0
25786,sweaty breasts,汗湿的胸部,0
25470,seer (apex legends),先知 (Apex英雄),0
9156,mama (death stranding),妈妈 (死亡搁浅),0
2992,shy,害羞,0
404,bleach,死神,0
51642,roon (azur lane),罗恩 (碧蓝航线),0
95759,prometheus (honkai impact),普罗米修斯 (崩坏3),0
38961,montgomery gator (fnaf),蒙哥马利鳄鱼 (玩具熊的五夜后宫),0
95779,erdos helia (honkai impact),赫丽娅 (崩坏3) (崩坏3),0
29894,Yunyun (Kono Subarashii),云云 (为美好的世界献上祝福！),0
26406,nurse redheart,护士红心,0
4927,no humans,无人类,0
75084,hanya (honkai star rail),哈尼亚 (崩坏：星穹铁道),0
38380,natsuki (doki doki literature club),夏希 (心跳文学部),0
56828,sun wukong (rwby),孙悟空 (RWBY),0
42251,w (arknights),草 (明日方舟),0
5065,no panties under skirt,裙子下没有内裤,0
6196,princessleia,莱娅公主,0
54399,aiba manami (my hero academia),相叶真奈美 (我的英雄学院),9
5880,aid,援助,1
207087,aigis (persona),艾吉斯 (女神异闻录),10
117396,airachnid (transformers),艾拉查妮 (变形金刚),27
157725,airani iofifteen (vtuber),Airani Iofifteen (VTuber/虚拟主播),6
40795,airie (fortnite),艾里 (堡垒之夜),4
2237,airtight,气密,239
35899,ais wallenstein (danmachi),艾斯华伦斯坦 (在地下城寻求遭遇是否搞错了什么),7
119874,aizawa ema (vtuber),蓝泽埃玛 (VTuber/虚拟主播),11
73494,ajitani hifumi (blue archive),味谷一富美 (蔚蓝档案),54
35395,akai haato (vtuber),赤井心 (VTuber/虚拟主播),40
1071,akali (league of legends),阿卡丽 (英雄联盟) (英雄联盟),883
514,akamatsu kaede (danganronpa),赤松枫 (弹丸论破),6
8252,akane (parodius),茜 (极上沙罗曼蛇),8
44803,akane kurokawa (oshi no ko),黑川茜 (我推的孩子),28
116667,akane shinjou (gridman),新条茜 (网格人),2
42681,akane tendo (ranma 12),天童茜 (乱马12),2
28800,akari,明里,11
32401,akari kazemiya (princess connect),风宫明 (公主连结),6
532,akasha (gmod),阿卡夏 (通用模式),1
41972,akeha (nier automata),阿克哈 (尼尔自动机),9
35900,akeno himejima (highschool dxd),明野姬岛 (恶魔高校D×D),94
39043,aki hayakawa (chainsaw man),早川亚纪 (电锯人),7
37301,akiha tohno (type moon),远野秋叶 (类型月亮),51
62249,akira tendo (zombie 100),天藤晃 (僵尸100),1
54513,akita neru (vocaloid),亚北音留 (VOCALOID),59
45053,akitsu maru (kantai collection),秋津丸 (舰队Collection),4
44715,akiyama rinko (taimanin),秋山凛子 (对魔忍),106
53880,akiza izinski (yu-gi-oh),阿基扎·伊津斯基 (游戏王),7
28534,akko kagari (little witch academia),阿科·卡加里 (小魔女学园),18
3660,akkoarcade,akkoarcade,3
50218,ako zuri (blue archive),赤子苏里 (蔚蓝档案),55
86554,akuma nihmune (vtuber),Akuma Nihmune (VTuber/虚拟主播),18
26705,aladdin,阿拉丁,11
613,alakazam (pokemon),胡地 (宝可梦),1
27665,alastor (hazbin hotel),阿拉斯托尔 (地狱客栈),33
41784,albedo (genshin impact),反照率 (原神),17
26489,albedo (overlord),反照率 (霸王),112
37784,albert wesker (resident evil),阿尔伯特·威斯克 (生化危机),28
6180,alcina dimitrescu (resident evil),阿尔契娜·迪米特雷斯库 (生化危机),1219
28531,alcremie (pokemon),霜奶仙 (宝可梦),8
44041,alear (fire emblem),阿利尔 (火焰纹章),17
